URL,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Personal,7700000000,,,2020,,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,invest.,2100000000$,2020,2015,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,profit,4700000000,2025,2015,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,"Smart industry",11200000000,,,2020,,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,invest.,3000000000,2020,2015,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,profit,7600000000,2025,2015,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,"Smart industry",5400000,,,2020,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Vechile,22000000,,,2020,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Defence,126000,invest.,8700000000,2020,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,"Smart home",,,,2030,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Agriculture,75000000,,,2020,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Undefined,310000000,,,2020,,
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,invest.,133000000000,2019,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,revenue,421000000000$,2019,,blogger
file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Healthcare,646000000,,,2020,,blogger
